source,destination,title,group,size_bytes,sha256
CV(1).pdf,documents/cv/alexandre-autran-cv.pdf,Curriculum vitae,cv,108738,5e05eb06179ab7f9d45271b48ef78739b6ff4fdac9d859180bda5e200c7ca166
Report(2).pdf,documents/research/machine-learning/air-pollution-prediction-report.pdf,Air Pollution Prediction from Environmental Data — report,research,1141418,89e47268192d55f87562d06a3439c784b1d8923f382b3ab15d72fbf2950416a7
Report(3).pdf,documents/research/machine-learning/cardiovascular-disease-prediction-report.pdf,Cardiovascular Disease Prediction — report,research,297113,408aa0e035d7eb17955e3fd2413c487bb7ebbc9d6bec4bbadf758860a7f96a19
Beamer.pdf,documents/research/reading-groups/statistical-learning-erm-slides.pdf,Supervised Statistical Learning: Prediction by Empirical Risk Minimization — slides,research,466635,d5eee6c8e08999e9dc89a7449603c9cc38df9c4f707a3ef9693d38bfa7f43891
Beamer(1).pdf,documents/research/reading-groups/elimination-theory-extension-slides.pdf,Elimination Theory and Extension — slides,research,368417,4b8425175d19105b618864fe46e33c2ef548a23dd252c66645412404f5d5e97f
Beamer(2).pdf,documents/research/seminars/stein-point-processes-slides.pdf,Point Process and Stein’s Method — slides,research,282966,05d1333adbc3bd228bd3b71b8843ef83de79d35e0d662209c2a5467ae803f25b
Cours.pdf,documents/courses/random-models.pdf,Modèles aléatoires,course,1921573,24d358286db52699041fc9986218512d29fbfe553b8778ad536a6a1a3820f52d
APPR_Poly.pdf,documents/courses/statistical-learning-high-dimension.pdf,Apprentissage statistique et grande dimension,course,927590,f19d448c86731e5da3e2a4b515ebca232430e695cf67ce86a5109ac654da9941
STMA_Poly.pdf,documents/courses/statistics.pdf,Statistiques,course,975854,a4bfae7fe547b1f51fd52153bcacd577d49cd678ce3a607095c25449a4c43680
Cours(1).pdf,documents/courses/applied-pdes-biology.pdf,EDP appliquées à la biologie,course,2772305,2a63e41439f433bbf17b539948f49847b125ead42800e2d4bd166cbdf5e2764a
calculsto_M2.pdf,documents/courses/stochastic-calculus.pdf,Calcul stochastique,course,1128141,17a43774945f3cf5d7f064ad27c4dcdf6a9ba25e55e3c7773efeadfd2e8a8321
processus_M2.pdf,documents/courses/stochastic-processes.pdf,Processus stochastiques,course,910699,9c83156593f2fdc3a802e2895939d4f3fe9eb80a854eba116909408fe105198f
research.zip::research/Rapport_Alexandre_Autran.pdf,documents/research/bsc/real-root-counting-report.pdf,Algebraic Counting of the Real Roots of Polynomials — report,research,734900,1bb18a03b61c90af1fea1a03f205f9ebd7b409ee959b148a1106b09fd0021b94
research.zip::research/Beamer.pdf,documents/research/reading-groups/geometry-of-numbers-slides.pdf,Geometry of Numbers — slides,research,1316747,94f3a5013e17947c7bc34bf7eefc810f895743f3666751c2d0aaa5d73fbe65e9
research.zip::research/Memoire.pdf,documents/research/reading-groups/geometry-of-numbers-report.pdf,Geometry of Numbers — report,research,2763263,2dc79827bf1a82df19b52208c4c54aaac10c10111ebbd7b0bb80ac29d6321d2a
research.zip::research/Beamer 3.pdf,documents/research/bsc/real-root-counting-slides.pdf,Algebraic Counting of the Real Roots of Polynomials — slides,research,588528,19cd18d95ac22048677eea3a17c2fbf1425c4124459169a92952b966423ebf45
research.zip::research/Beamer 2.pdf,documents/research/bsc/post-quantum-cryptography-slides.pdf,Lattice-Based Post-Quantum Cryptography — slides,research,2984754,10bbe15eacf42a6728c46a78e3f76b9844fe12d5799df7d2a0e4b41892afb7b8
research.zip::research/Report 2.pdf,documents/research/bsc/post-quantum-cryptography-report.pdf,Lattice-Based Post-Quantum Cryptography — report,research,752492,db269bdd1ff5cbdea688f51f47c7049e69daea6a9c7cf749451379e496384606
research.zip::research/Report 3.pdf,documents/research/msc/lotka-volterra-optimal-control-report.pdf,Numerical Simulation and Optimal Control of Spatial Lotka–Volterra Systems — report,research,8283908,ddf7b36eb578443b3819a509926ebd6af515ea239b965449fcea03805498ae46
research.zip::research/Report 4.pdf,documents/research/seminars/stein-point-processes-report.pdf,Point Process and Stein’s Method — report,research,607757,339863f5d7a7c5aea0842219e98f93b97b052de1f3835c962800472de3682341
research.zip::research/Memoire_L1.pdf,documents/research/bsc/hyperbolic-geometry-fuchsian-groups-report.pdf,Introduction to Hyperbolic Geometry and Fuchsian Groups — report,research,538574,d651c9a8c0928476e4ea32a3814bc905ded09e40d595a13dbceb00dc5466f8c7
research.zip::research/Memoire_L2.pdf,documents/research/bsc/topological-matrix-groups-report.pdf,Topological Study of Matrix Groups — report,research,612671,1dbe88d80bf97e0cc148c334ca8df9d4ef0e77c82703b55ed72b9d34fc10710b
research.zip::research/Presentation_Alexandre.pdf,documents/research/bsc/hyperbolic-geometry-fuchsian-groups-slides.pdf,Introduction to Hyperbolic Geometry and Fuchsian Groups — slides,research,363118,36c51f37c0f19228551d8d62e88039577aa2e7e1e66003307fa97b54f7add2a9
Colles.zip::Colles/Colle9.pdf,documents/resources/colles/colle-09.pdf,Colle n°9,colles,159209,f4a6e4723a53d9fc27665f946130703d4149c2102fee11ab6fc417889b313ad5
Colles.zip::Colles/Colle8.pdf,documents/resources/colles/colle-08.pdf,Colle n°8,colles,250991,53bb57b242f985ba06ef68c4ea8f20bd25ea1a06d221e52e909ac94cfbe7be55
Colles.zip::Colles/Colle3.pdf,documents/resources/colles/colle-03.pdf,Colle n°3,colles,286546,7eaf733aff6a21e01408efb74d7b9aec013f55396afc2903bb3b8fac82693c06
Colles.zip::Colles/Colle15.pdf,documents/resources/colles/colle-15.pdf,Colle n°15,colles,195675,1944a7eb8ca8be7d10bbf57b921a7cc5f49a297d768ec5d4606285cbb52ae02d
Colles.zip::Colles/Colle14.pdf,documents/resources/colles/colle-14.pdf,Colle n°14,colles,269931,3c4f05a8bc72ab737619764809e51fbb87391edca01788cc60f3c10bd9e2aecf
Colles.zip::Colles/Colle2.pdf,documents/resources/colles/colle-02.pdf,Colle n°2,colles,255169,ab57e794a2c938e40ca21324ac77c8b6ad38c06d9cbfd9ca21b224d22c84984c
Colles.zip::Colles/Programme + Bibliographie.pdf,documents/resources/colles/programme-bibliographie.pdf,Programme & bibliography,colles,108446,1ea240dd5cf5e7655ac609bb31999e5cc287f379b69a1c640c62e1d38ce4fda4
Colles.zip::Colles/Colle16.pdf,documents/resources/colles/colle-16.pdf,Colle n°16,colles,205825,45af4a3e7d2afefeb1c40f93c7cc0336f1beb55dbb497c6464489bdb82b75ddc
Colles.zip::Colles/Colle1.pdf,documents/resources/colles/colle-01.pdf,Colle n°1,colles,156085,0bfcbd33adfd824a7b6e09830ac8d554c96cfd884701012a8971e6358e80e536
Colles.zip::Colles/Colle13.pdf,documents/resources/colles/colle-13.pdf,Colle n°13,colles,242021,b3bc481eb4b6f9d74adf006896609caf74e5143a4c56c9af87c80b1bd379428c
Colles.zip::Colles/Colle5.pdf,documents/resources/colles/colle-05.pdf,Colle n°5,colles,182522,4d304dd125fa8e1f89fb67f060e94dd1b4a01d0ce38a9594a715645791223651
Colles.zip::Colles/Colle4.pdf,documents/resources/colles/colle-04.pdf,Colle n°4,colles,262375,658702a0dc0016028c90b7197697c5d3869aafe18a3c3f529ce1ed8a06aa4e38
Colles.zip::Colles/Colle12.pdf,documents/resources/colles/colle-12.pdf,Colle n°12,colles,239019,0711bb6e86f7add76d48c7ba2cda8c3919df247a6a31ff247702151b4ebc9e8a
Colles.zip::Colles/Colle6.pdf,documents/resources/colles/colle-06.pdf,Colle n°6,colles,228725,323ff2d34be80d638ef86ed43bd577bd998e60302f26070bb3a9b3006b91d888
Colles.zip::Colles/Colle10.pdf,documents/resources/colles/colle-10.pdf,Colle n°10,colles,206666,71937a404d09369c6083db4df15e0ff80290cceb1f3bbba05ddfd33ab675ee74
Colles.zip::Colles/Oraux 2025.pdf,documents/resources/colles/oraux-2025.pdf,Oraux 2025,colles,196117,24c546c6ceab76c1532aaa1a940e5ae5887f8895c630a3d387a6d327c0146da7
Colles.zip::Colles/Colle11.pdf,documents/resources/colles/colle-11.pdf,Colle n°11,colles,209407,e523378d9da5640a28381b5b12d06530fbb6d82dd206a11cd8ceb54dea110be4
Colles.zip::Colles/Colle7.pdf,documents/resources/colles/colle-07.pdf,Colle n°7,colles,177155,a36a4ec867473c9c8033b45b61b53e8fc42e5e63ba791aff5baec2ef952e0e86
Colles.zip::Colles/attestation.A.Autran.pdf,documents/resources/colles/teaching-attestation-2025.pdf,Teaching attestation (2025),colles,15092,62d0511ea0c8fa07fc164620ca6a66957b8ab19c4482d1324333c723f959379f
Fiches .zip::Fiches /Espaces_préhilbertiens/Automorphismes orthogonaux.pdf,documents/resources/notes/linear-algebra-geometry/automorphismes-orthogonaux.pdf,Automorphismes orthogonaux,notes-linear,246868,ad2bd128a670a421a971bc791696b1bd0d4b60e7d3feb5a7eb10c08b0d8f52b2
Fiches .zip::Fiches /Espaces_préhilbertiens/Prod_mixte.pdf,documents/resources/notes/linear-algebra-geometry/complement-produit-mixte.pdf,Complément : produit mixte,notes-linear,172612,6c6ec73bcc587562f94aea6e1123030723cf728935b6fb01385802c7ddb516d6
Fiches .zip::Fiches /Espaces_préhilbertiens/Proposition.pdf,documents/resources/notes/linear-algebra-geometry/proposition.pdf,Proposition,notes-linear,150472,554039aef6e623d01b012aa825f72d753dd2ffa866d740c4b1b7503734ee62bb
Fiches .zip::Fiches /Espaces_préhilbertiens/Orthogonal_sev.pdf,documents/resources/notes/linear-algebra-geometry/orthogonal-d-un-sous-espace-vectoriel.pdf,Orthogonal d’un sous-espace vectoriel,notes-linear,265363,c698ee130c5163fb9835d1a1349d8742b46cdc331de74333829c80d8792dd1e7
Fiches .zip::Fiches /Espaces_préhilbertiens/Projecteur_orth.pdf,documents/resources/notes/linear-algebra-geometry/projecteur.pdf,Projecteur,notes-linear,150428,5c3b0999abc3fc9541e4b8a448919228066a032a33600613b4e1e1debfc13785
Fiches .zip::Fiches /Suites/Arctan_Fib.pdf,documents/resources/notes/analysis-probability/lien-entre-pi-4-et-la-suite-de-fibonacci.pdf,Lien entre π/4 et la suite de Fibonacci,notes-analysis,205299,888c96189c5b6f3e077e27b41c91c5131a15f7130c57408620036ad3abb4ece1
Fiches .zip::Fiches /Suites/Fiche_Wallis.pdf,documents/resources/notes/analysis-probability/integrales-de-wallis.pdf,Intégrales de Wallis,notes-analysis,184162,7345fc711b0eb45f3206f53fa38856a5f644699004fb7666608b0d6680f82f70
